               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2
47;0.01584;0.0055212;0;0.97806;0.94859;0.98704;0.83942;0.0086965;0.002205;0;0.0079403;0.0079403;0.0079403
48;0.014833;0.0050448;0;0.98115;0.99291;0.99162;0.84551;0.0090318;0.0021898;0;0.0078955;0.0078955;0.0078955
49;0.015172;0.0053073;0;0.98576;0.98169;0.99378;0.85394;0.0085419;0.0024329;0;0.0078507;0.0078507;0.0078507
50;0.015074;0.0050635;0;0.98653;0.97872;0.98879;0.86892;0.0087652;0.0032366;0;0.007806;0.007806;0.007806
51;0.014527;0.0049175;0;0.99549;0.98582;0.99479;0.87224;0.0078132;0.0028569;0;0.0077612;0.0077612;0.0077612
52;0.015428;0.0054395;0;0.98922;0.96454;0.99045;0.86948;0.0088616;0.0028995;0;0.0077164;0.0077164;0.0077164
53;0.013899;0.0050986;0;0.98746;0.98582;0.994;0.85166;0.0089096;0.0023416;0;0.0076716;0.0076716;0.0076716
54;0.014396;0.0053079;0;0.98574;0.98077;0.99334;0.86931;0.0082062;0.0021933;0;0.0076269;0.0076269;0.0076269
55;0.01507;0.0049532;0;0.97878;0.98136;0.99253;0.87432;0.0079582;0.0020887;0;0.0075821;0.0075821;0.0075821
56;0.013935;0.0050449;0;0.97106;1;0.9943;0.8839;0.0082766;0.0021421;0;0.0075373;0.0075373;0.0075373
57;0.0147;0.0048855;0;0.95605;0.99291;0.99267;0.82657;0.0087288;0.0022496;0;0.0074925;0.0074925;0.0074925
58;0.014738;0.0054327;0;0.96925;1;0.99444;0.85491;0.0079592;0.0021631;0;0.0074478;0.0074478;0.0074478
59;0.013698;0.0046547;0;0.98518;0.97872;0.99409;0.85087;0.0095812;0.0022789;0;0.007403;0.007403;0.007403
